"Codigo","Neighborhood","Latitude","Longitude","name","lat","lon","category"
"0","Col. Libertad","13.7225","-89.2097","Smart Fit","13.705194","-89.20997","Gym and Studio"
"1","Calle San Ernesto por Corvisa","13.6814","-89.2011","Perfect Body Gym","13.703405","-89.210589","Gym and Studio"
"2","Col. Miramonte","13.7079","-89.2142","Style fitness-gym-studio","13.712796","-89.208447","Gym and Studio"
"3","Res. Buena vista","13.6896","-89.2854","Gym @ Real Intercontinental","13.707753","-89.212893","Gym and Studio"
"4","Res. Buena vista","13.6896","-89.2854","Hotel Real InterContinental San Salvador at Me...","13.707502","-89.213049","Hotel"
"5","Ciudad Merliot","13.6814","-89.2719","polideportivo Utec","13.699689","-89.201673","College Gym"
"6","Resd. La Gloria por Casa Comunal La Gloria","13.7409","-89.2185","UTEC Fitness Gym","13.700404","-89.199811","College Gym"
"7","Zona del Estadio Cuscatlan","13.6812","-89.2234","Be Fit","13.704639","-89.213763","Gymnastics Center"
"8","Col. Miralvalle","13.7213","-89.2227","Perfect Body Gym","13.715815","-89.210261","Gym and Studio"
"9","Col. Miralvalle","13.7213","-89.2227","Perfect Body Gym","13.715815","-89.210261","Gym and Studio"
"10","Col. San Francisco por el Estadio Cuscatlan","13.6893","-89.2244","Smart Fit","13.705194","-89.20997","Gym and Studio"
"11","Antiguo Cuscatlan","13.6661","-89.2451","Smart Fit","13.705194","-89.20997","Gym and Studio"
"12","Col. Escalon","13.7075","-89.2447","Smart Fit","13.705194","-89.20997","Gym and Studio"
"13","Pasaje en Calle La Cañada Ciudad Merliot","13.6804","-89.2594","Smart Fit","13.705194","-89.20997","Gym and Studio"
"14","Colonia San Francisco,","13.6893","-89.2244","Smart Fit","13.705194","-89.20997","Gym and Studio"
"15","Colonia La Rabida","13.7165","-89.1859","Smart Fit","13.705194","-89.20997","Gym and Studio"
"16","km 11 carretera Troncal del norte Col San Anto...","13.7803","-89.1715","no ubicación","0","0","0"
"17","Condominio Villas de San Francisco","13.6709","-89.2259","no ubicación","0","0","0"
"18","75 Av. Norte","13.7117","-89.2315","no ubicación","0","0","0"
"19","Las Camelias en Residencial Las Arboledas","13.7382","-89.3488","no ubicación","0","0","0"
"20","Res. Alpes Suizos","13.682","-89.3127","no ubicación","0","0","0"
"21","Metropoli San Gabriel","13.7964","-89.2247","no ubicación","0","0","0"
"22","700 mts de redondel Ranza, en Res. Paseo del P...","13.7789","-89.185","no ubicación","0","0","0"
"23","Av Bernal Calle Castro Moran Villa Victoria 2 ...","13.7314","-89.2133","no ubicación","0","0","0"
"24","Resd. Europa Calle Ppal.","13.6852","-89.3081","no ubicación","0","0","0"
"25","Resd. Villas de Pamplona","13.8237","-89.2839","no ubicación","0","0","0"
"26","Res. Quintas San Antonio Cluster 1","13.8096","-89.2349","no ubicación","0","0","0"
"27","Res. Cimas de San Bartolo III","13.7248","-89.1057","no ubicación","0","0","0"
"28","Res. Paseo del Prado","13.779","-89.1849","no ubicación","0","0","0"
"29","Resd. La Cima 4","13.6689","-89.2109","no ubicación","0","0","0"
"30","Col. Quezaltepec","13.6835","-89.3038","no ubicación","0","0","0"
"31","Calle Monte Carmelo","13.6981","-89.1517","no ubicación","0","0","0"
"32","Km 8.5 Troncal del norte","13.8004","-89.1774","no ubicación","0","0","0"
"33","Residencial Bella Granada","13.8232","-89.2707","no ubicación","0","0","0"
"34","Col. Guadalupe","13.7765","-89.1794","no ubicación","0","0","0"
"35","Res. Sierra Verde","13.6447","-89.1419","no ubicación","0","0","0"
"36","Res. Cimas de San Bartolo","13.7248","-89.1057","no ubicación","0","0","0"
"37","Urb. Pinares de Santa Monica","13.6848","-89.2842","no ubicación","0","0","0"
"38","Res. Villa Constitucion","13.8202","-89.2512","no ubicación","0","0","0"
"39","Col. Miralvalle","13.7213","-89.2227","no ubicación","0","0","0"
"40","Zona Alta Col. Escalon","13.7085","-89.2428","no ubicación","0","0","0"
"41","Res. Paseo del Prado","13.779","-89.1849","no ubicación","0","0","0"
"42","Res. Utila","13.6657","-89.279","no ubicación","0","0","0"
"43","Res. Utila","13.6657","-89.279","no ubicación","0","0","0"
"44","Urb. Cumbres de la Escalon","13.7171","-89.2437","Be Fit","13.704639","-89.213763","Gymnastics Center"
"45","Col. San Benito","13.6917","-89.2423","Be Fit","13.704639","-89.213763","Gymnastics Center"
"46","Col. Escalon Parte Baja","13.7092","-89.2451","Be Fit","13.704639","-89.213763","Gymnastics Center"
"47","Urb. Santisima Trinidad 2a. Etapa","13.7504","-89.2037","no ubicación","0","0","0"
"48","Res. Villa Constitucion","13.8274","-89.2504","no ubicación","0","0","0"
"49","Res. Fincas de Asturias","13.6846","-89.2798","no ubicación","0","0","0"
"50","9a. Calle Pte. Zona Torre Futura","13.7075","-89.2365","Be Fit","13.704639","-89.213763","Gymnastics Center"
"51","Res. Veranda","13.6854","-89.2976","Be Fit","13.704639","-89.213763","Gymnastics Center"
"52","Urb. Lomas de San Francisco","13.6725","-89.2316","Be Fit","13.704639","-89.213763","Gymnastics Center"
"53","Col. Minerva por Ex Zoologico Nacional","13.6819","-89.1952","no ubicación","0","0","0"
"54","Col. Miramonte","13.7077","-89.2138","Be Fit","13.704639","-89.213763","Gymnastics Center"
"55","Res. Ciudad Dorada, Km14 autopista a Comalapa","13.6553","-89.1474","no ubicación","0","0","0"
