"codigo","Neighborhood","Latitude","Longitude","name","lat","lon","category"
"0","Col. Libertad","13.7225","-89.2097","Super selectos","13.705074","-89.209586","Grocery Store / Supermarket"
"1","Calle San Ernesto por Corvisa","13.6814","-89.2011","Super Selectos - Metrocentro 8va Etapa","13.705281","-89.209826","Grocery Store / Supermarket"
"2","Col. Miramonte","13.7079","-89.2142","Super Selectos - Metrocentro 10ma Etapa","13.706652","-89.212014","Grocery Store / Supermarket"
"3","Res. Buena vista","13.6896","-89.2854","Super Selectos Metrosur","13.704269","-89.214343","Grocery Store / Supermarket"
"4","Res. Buena vista","13.6896","-89.2854","Despensa de Don Juan","13.705846","-89.214936","Grocery Store / Supermarket"
"5","Ciudad Merliot","13.6814","-89.2719","Fu Mau","13.707748","-89.217452","Business and Professional Services"
"6","Resd. La Gloria por Casa Comunal La Gloria","13.7409","-89.2185","Walmart Mejicanos","13.736324","-89.216032","Grocery Store / Supermarket"
"7","Zona del Estadio Cuscatlan","13.6812","-89.2234","Super selectos dario","13.699235","-89.194558","Grocery Store / Supermarket"
"9","Col. Miralvalle","13.7213","-89.2227","Super Selectos","13.713071","-89.193452","Grocery Store / Supermarket"
"10","Col. Miralvalle","13.7213","-89.2227","Super Selectos","13.713071","-89.193452","Grocery Store / Supermarket"
"11","Col. San Francisco por el Estadio Cuscatlan","13.6893","-89.2244","Super Selectos","13.683712","-89.221993","Grocery Store / Supermarket"
"12","Antiguo Cuscatlan","13.6661","-89.2451","Despensa de Don Juan","13.675137","-89.243341","Grocery Store / Supermarket"
"13","Col. Escalon","13.7075","-89.2447","Super Selectos","13.701989","-89.232075","Grocery Store / Supermarket"
"14","Pasaje en Calle La Cañada Ciudad Merliot","13.6804","-89.2594","Super Selectos","13.681138","-89.263101","Grocery Store / Supermarket"
"15","Colonia San Francisco,","13.6893","-89.2244","Super Selectos","13.683712","-89.221993","Grocery Store / Supermarket"
"22","Colonia La Rabida","13.7165","-89.1859","Despensa de Don Juan","13.712055","-89.185162","Grocery Store / Supermarket"
"23","km 11 carretera Troncal del norte Col San Anto...","13.7803","-89.1715","Super Selectos","13.799241","-89.176508","Grocery Store / Supermarket"
